node_id,pois_id
11235870381,4562113393 4607342092 5577473651
6493524695,9082115597
11585563798,12096414787
11278401481,12133344122 12133344123
4349240001,6210866728
11278176359,12179578688
8063934807,8050894827
1804301779,4409073281
520395488,4426997474 4426997475 4426997476
9284766487,6903650480
415505584,11030858803
3101300983,4409074500
4951450973,8056285287 8056285288
1686416020,8056285291 4089606615 4089606655
36565539,5186478454
9027145098,11020658860
12097664191,5734955905 5734956441 5734956450 5734955904 5734956447
7935607698,5745066135 5734956463 1753577700
10734212607,5734955333 5744940535
7957998832,5734955334
7188918813,8505964371 8505964370 6587516073
1383204005,6813564992 7131697276 7131761294 7131761287 7131761296 7131761295
11406432598,8660626400
5874617801,11482305626
8120154907,3725442520 5173332722
553076726,3355430522
7855938532,7504719377
7426805057,5744940657 5734955909
3855668479,11963329673
5590940387,8086206717 8086181619
6744747109,4409054109
8242698076,4409072167
9330996594,4409072171
10019505540,11021359949 6751264577
12088388838,4409072501 4409072151 4071028772 4409072144 4409072513 4409072533
3454681134,5919409285
8186181543,8050736994 8186181536
6282158721,6282158767
2406473556,8043350495
7732147534,660434648
7891377853,8072093343
2446110488,9970749246
7120414738,7120414755
176018879,7387262524 7400160816 7387262615 7400160817 7387262620 7387237575 7387262619 7387262621 7387262622 7400160818 7387262623 7387262529 7387262624 7387262616 7387262521 7387262526 7387262527 7387262635 7387262528 7387262634 7387262627 12117585184
1764361183,2312365245 4914016022
492355706,11746962369
338869196,4346681189
338998772,4346681489
338998607,5271327306 4346673690 5271327304 4347909790
338998620,339246192
11028146340,11021359946
415661380,11021707210
10925266253,11457580327
7238124010,12052292253
9769442657,4343198758
10277071359,9807707387
1038848686,9441146849
10184841828,7711922474 1234226121
338896021,6217993690 6210812006 8148193157 8148137094
7961861536,3595443321
3529348663,6089367725
415505529,11030881005 11021359941 11030881010
11149506567,9622603009
11377356331,7612948065 7612948066
506062147,7612948064
3497489386,3305141761 6689950925 3587066493 3582334895 6689950910
1105431624,8410287417
8322742704,3310851584 6689950957 11361823504
2292032200,5271327292
2490555041,5855481276 5855481267 5855481272 5855481270 9120860398
4065533286,3176160092
1390356029,4409074506
399360891,6656058519
5693902894,12105453131 8056278967
419469978,7642378300 6629990255 7645393121
3456455744,4826375621
1552426519,8147990709
12047208098,4409072184 4409072546 3874193382 4409072534 9735878433
365773875,6903650479
11283874543,12179578687
9740188674,9688759347
1490446028,8444297613
5984481198,11691729649
3683321680,8188103315
338868923,4346681389 4346681190 2401062880
338998805,4346678691 7394056631
9339283997,10681843263
6319933104,5271327305
3416868368,6399768165
8753190711,3297409680
287787488,8148125200
12056731923,5561191897
4685756675,4409086217
8986943112,11872997504
1743258267,4331998289
1099386158,4409072159 4409072173 6276057396
12088164662,4409072508
8156072286,7742323152
11285101425,4000204824
1390355679,4409074503
338998777,5271327320 5271327316
9592629001,4698789556
338998596,4346678693
9611020123,4993471021 1211948156 9946877017
10700098923,7393930641
8023508055,8608458733
9111534422,8056285307 8056285306
5693902996,10136013237
11230063392,11230068604
11230063437,11230068600
3432592521,6711114690 3098115666 6711114885
2325120329,2322709550 648735254 11079564705
647479997,12049021266
1435065699,8148173926
9445499859,11021359944 9408938194 4995658927
1416085660,8064197846 8064197844
2399888691,1630957030
6466983710,5745057235
10977695727,10979821506
7019499791,8147888230
8390882438,4409073395
12199972555,8148038202
975577471,8148038203
3606234404,4727221573
1585332285,8147853396
2992799257,5381946076
6313322501,4409054107
5771946041,4343692187
6751323007,11021707216
3639998818,6089270264
12171125473,1786949691 1618589225
491973449,6510367618
806646486,5855481269 5855481271
1676254066,4409086212
9380046883,8056285289
9316612545,8056285286
6533238137,6533231418
8790817598,4693771775
7460079434,7460079424
6356753259,8949996427 5167654922
628468982,8148173520
7455006158,9441146848 9441089789
1324478148,11030881009 11021359942
2776311697,11030881006
989386778,7196046711
7188360148,4386255548
647515543,12083269697
2078134628,6721966295
3950940376,6433110090
419453618,7638876952
5351765844,8322224690
4926149443,4672352391
10787231343,12125680541
339246189,5271327319 7280852552
338999530,4347909293 4346678692 5271327296
1472654923,5652203734
7111504431,6219136277
12113042249,7387262520 7387262577 7387237574
9426790853,7387262530 7387262537 7387262523 7387262629
3177439792,3440123619
12041028209,6564068185
9870460188,6448398995
12171380328,3166230358
5000575744,3162109186
5167370922,3771950557
5693902674,8056278965 3634697077
9506840132,5693902847
2148443046,4409072500 11289255170
3271611578,4409072156
8113924646,8148035022
9426847242,2627276415 4409072181 4409072527
10761858890,6483119168
1107416715,7508449079
5597130983,5145513324 5134184721 338846665
4363577631,8147847286
334880114,5271327314
8608766392,8695629951
2490635289,5041553422 5098979621
11586561488,8148087794
6793964633,6512152953
416252847,6501376130 6501376153
26823933,4409072175
11568472681,9309853944
6102438082,4409072542 4409072545
